"Sie haben folgende Auswahl für die Qualitätsdaten-Abfrage getroffen"
"Messstellentyp: Isotopen"

"Messstellen"
"Anzahl Messstellen: 24"
"Messstellen: IN70000007 Sillian, IN70000008 St. Jakob / Defreggen, IN70000053 Hochfilzen, IN70000056 Kufstein, IN70000057 Pertisau, "
"IN70000058 Achenkirch, IN70000059 Steinberg / Rofan, IN70000060 Hinterriß, IN70000061 Scharnitz, IN70000062 Seefeld / Tirol, "
"IN70000063 Gries / Brenner, IN70000064 Patscherkofel, IN70000065 Innsbruck (Universität), IN70000066 St.Martin / Gnadenwald, "
"IN70000067 Gerlos, IN70000068 Obergurgl, IN70000069 Längenfeld, IN70000070 Haiming, IN70000071 Fernpaß, IN70000072 Reutte, "
"IN70000074 Nauders, IN70000075 St.Anton / Arlberg, IN70000088 Nassereith, IN70000089 Innsbruck / Flughafen"
"Übergebene Messstellen, die in der Detailansicht nicht angezeigt werden sind im untersuchten Zeitraum nicht beprobt worden!"

"Parameter"
"Parameter: I100 Lfd. Nummer, I101 Probenahme-Beginn TT-MM-JJJJ, I102 Probenahme-(Ende) TT-MM-JJJJ, I103 Flaschengewicht g, "
"I104 Niederschlag - Monatssumme (mm), I105 Laborcode - Niederschlag I104, I106 Niederschlag - Art, I107 Lufttemperatur - Monatsmittel (°C), "
"I108 Laborcode - Lufttemperatur I107, I109 potentielle Verdunstung - Monatssumme (mm), I110 Laborcode - pot. Verdunstung I110, "
"I111 Pegelstand cm, I112 Durchfluss m³/s, I114 Delta 18O (? VSMOW), I115 Messgenauigkeit Delta 18O (?), I116 Laborcode - 18O I114, "
"I117 Delta  2H (? VSMOW), I118 Messgenauigkeit Delta 2H (?), I119 Laborcode - Deuterium I117, I120 Tritium - 3H (TE), "
"I121 Messgenauigkeit Tritium 3H, I122 Laborcode - Tritium I120, I123 freies Luftvolumen (ml) bis 2003"

"Zeitraum der Abfrage"
"Januar 1990 bis Dezember 2024"
"Probenzuordnung: GZÜV, Land"

"Definition der Ausgabe"
"Parameter werden in Spalten angezeigt."
"Leere Ergebniszeilen werden gelöscht."
"Zu Messobjekten anzeigen: GZÜV-ID, Name, Gemeinde, Höhe Messpunkt"
"Zu Parametern anzeigen: Parameter Nummer, Vollständige Bezeichnung"
"Format von Dezimalzahlen: Dezimalpunkt (.)"

"Abfrage durchgeführt durch Öffentlicher Benutzer am Mittwoch, 3. Juli 2024 um 13:37"

------------------------------------------------------------------------------------------------------------------------------------------------------

GZÜV-ID;Name;Gemeindename;Höhe Messpunkt;Monat;I100;I101;I102;I103;I104;I105;I106;I107;I108;I109;I110;I111;I112;I114;I115;I116;I117;I118;I119;I120;I121;I122;I123;
"IN70000007";"Sillian";"Sillian";"1075";"Dez 1990";"";"01.12.1990";"31.12.1990";"";"91";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-15.95";"";"Seibersdorf Research-Arsenal";"";"";"";"5.58";"0.5";"Seibersdorf Research-Arsenal";"10";
"IN70000007";"Sillian";"Sillian";"1075";"Jan 1991";"";"01.01.1991";"31.01.1991";"";"34";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-15.63";"";"Seibersdorf Research-Arsenal";"";"";"";"8.89";"0.6";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Feb 1991";"";"01.02.1991";"28.02.1991";"";"16";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-19.16";"";"Seibersdorf Research-Arsenal";"";"";"";"7.08";"0.6";"Seibersdorf Research-Arsenal";"250";
"IN70000007";"Sillian";"Sillian";"1075";"Mär 1991";"";"01.03.1991";"31.03.1991";"";"19";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-9.03";"";"Seibersdorf Research-Arsenal";"";"";"";"11.2";"0.7";"Seibersdorf Research-Arsenal";"100";
"IN70000007";"Sillian";"Sillian";"1075";"Apr 1991";"";"01.04.1991";"30.04.1991";"";"37";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-15.71";"";"Seibersdorf Research-Arsenal";"";"";"";"19";"1";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Mai 1991";"";"01.05.1991";"31.05.1991";"";"102";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-14.48";"";"Seibersdorf Research-Arsenal";"";"";"";"12.3";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jun 1991";"";"01.06.1991";"30.06.1991";"";"116";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-6.46";"";"Seibersdorf Research-Arsenal";"";"";"";"17.2";"0.9";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jul 1991";"";"01.07.1991";"31.07.1991";"";"186";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-9.42";"";"Seibersdorf Research-Arsenal";"";"";"";"18.6";"1";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Aug 1991";"";"01.08.1991";"31.08.1991";"";"50";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-6.92";"";"Seibersdorf Research-Arsenal";"";"";"";"23.2";"1.1";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Sep 1991";"";"01.09.1991";"30.09.1991";"";"76";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-5.26";"";"Seibersdorf Research-Arsenal";"";"";"";"10.9";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Okt 1991";"";"01.10.1991";"31.10.1991";"";"81";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-11.12";"";"Seibersdorf Research-Arsenal";"";"";"";"9.3";"0.6";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Nov 1991";"";"01.11.1991";"30.11.1991";"";"149";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-17.9";"";"Seibersdorf Research-Arsenal";"";"";"";"5.48";"0.5";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Dez 1991";"";"01.12.1991";"31.12.1991";"";"52";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-19.17";"";"Seibersdorf Research-Arsenal";"";"";"";"7.35";"0.5";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jan 1992";"";"01.01.1992";"31.01.1992";"";"6";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-21.04";"";"Seibersdorf Research-Arsenal";"";"";"";"10.3";"0.7";"Seibersdorf Research-Arsenal";"750";
"IN70000007";"Sillian";"Sillian";"1075";"Feb 1992";"";"01.02.1992";"29.02.1992";"";"8";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-17.34";"";"Seibersdorf Research-Arsenal";"";"";"";"15.9";"0.8";"Seibersdorf Research-Arsenal";"750";
"IN70000007";"Sillian";"Sillian";"1075";"Mär 1992";"";"01.03.1992";"31.03.1992";"";"111";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-13.25";"";"Seibersdorf Research-Arsenal";"";"";"";"8.85";"0.6";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Apr 1992";"";"01.04.1992";"30.04.1992";"";"122";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-11.76";"";"Seibersdorf Research-Arsenal";"";"";"";"11.5";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Mai 1992";"";"01.05.1992";"31.05.1992";"";"27";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-6.4";"";"Seibersdorf Research-Arsenal";"";"";"";"19.8";"1";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jun 1992";"";"01.06.1992";"30.06.1992";"";"116";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-8.68";"";"Seibersdorf Research-Arsenal";"";"";"";"18.5";"1";"Seibersdorf Research-Arsenal";"0";
"IN70000007";"Sillian";"Sillian";"1075";"Jul 1992";"";"01.07.1992";"31.07.1992";"";"115";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-8.79";"";"Seibersdorf Research-Arsenal";"";"";"";"20.1";"1.1";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Aug 1992";"";"01.08.1992";"31.08.1992";"";"105";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-5.74";"";"Seibersdorf Research-Arsenal";"";"";"";"13.4";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Sep 1992";"";"01.09.1992";"30.09.1992";"";"67";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-8.77";"";"Seibersdorf Research-Arsenal";"";"";"";"12.7";"0.8";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Okt 1992";"";"01.10.1992";"31.10.1992";"";"196";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-13.98";"";"Seibersdorf Research-Arsenal";"";"";"";"8.49";"0.5";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Nov 1992";"";"01.11.1992";"30.11.1992";"";"37";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-12.77";"";"Seibersdorf Research-Arsenal";"";"";"";"8.74";"0.5";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Dez 1992";"";"01.12.1992";"31.12.1992";"";"117";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-17.73";"";"Seibersdorf Research-Arsenal";"";"";"";"6.17";"0.4";"Seibersdorf Research-Arsenal";"10";
"IN70000007";"Sillian";"Sillian";"1075";"Mär 1993";"";"01.03.1993";"31.03.1993";"";"28";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-14.1";"";"Seibersdorf Research-Arsenal";"";"";"";"12.4";"0.8";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Apr 1993";"";"01.04.1993";"30.04.1993";"";"40";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-13.39";"";"Seibersdorf Research-Arsenal";"";"";"";"19.2";"0.9";"Seibersdorf Research-Arsenal";"10";
"IN70000007";"Sillian";"Sillian";"1075";"Mai 1993";"";"01.05.1993";"31.05.1993";"";"53";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-5.01";"";"Seibersdorf Research-Arsenal";"";"";"";"20.7";"1.1";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jun 1993";"";"01.06.1993";"30.06.1993";"";"96";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-4.43";"";"Seibersdorf Research-Arsenal";"";"";"";"15";"0.9";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jul 1993";"";"01.07.1993";"31.07.1993";"";"186";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-5.35";"";"Seibersdorf Research-Arsenal";"";"";"";"14.3";"0.9";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Aug 1993";"";"01.08.1993";"31.08.1993";"";"83";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-7";"";"Seibersdorf Research-Arsenal";"";"";"";"13.8";"0.9";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Sep 1993";"";"01.09.1993";"30.09.1993";"";"108";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-8.26";"";"Seibersdorf Research-Arsenal";"";"";"";"10.5";"0.6";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Okt 1993";"";"01.10.1993";"31.10.1993";"";"297";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-10.02";"";"Seibersdorf Research-Arsenal";"";"";"";"8.1";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Nov 1993";"";"01.11.1993";"30.11.1993";"";"37";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-15.77";"";"Seibersdorf Research-Arsenal";"";"";"";"10.9";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Dez 1993";"";"01.12.1993";"31.12.1993";"";"38";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-17.92";"";"Seibersdorf Research-Arsenal";"";"";"";"8.9";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jan 1994";"";"01.01.1994";"31.01.1994";"";"30";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-13.95";"";"Seibersdorf Research-Arsenal";"";"";"";"6.6";"0.5";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Feb 1994";"";"01.02.1994";"28.02.1994";"";"27";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-13.7";"";"Seibersdorf Research-Arsenal";"";"";"";"9.5";"0.7";"Seibersdorf Research-Arsenal";"15";
"IN70000007";"Sillian";"Sillian";"1075";"Mär 1994";"";"01.03.1994";"31.03.1994";"";"8";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-12.11";"";"Seibersdorf Research-Arsenal";"";"";"";"10.4";"0.7";"Seibersdorf Research-Arsenal";"350";
"IN70000007";"Sillian";"Sillian";"1075";"Apr 1994";"";"01.04.1994";"30.04.1994";"";"71";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-12.94";"";"Seibersdorf Research-Arsenal";"";"";"";"13.3";"0.9";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Mai 1994";"";"01.05.1994";"31.05.1994";"";"105";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-8.35";"";"Seibersdorf Research-Arsenal";"";"";"";"14.7";"1.1";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jun 1994";"";"01.06.1994";"30.06.1994";"";"92";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-7.24";"";"Seibersdorf Research-Arsenal";"";"";"";"18.1";"1";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jul 1994";"";"01.07.1994";"31.07.1994";"";"120";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-4.45";"";"Seibersdorf Research-Arsenal";"";"";"";"22.5";"1.1";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Aug 1994";"";"01.08.1994";"31.08.1994";"";"163";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-4.81";"";"Seibersdorf Research-Arsenal";"";"";"";"17.1";"1";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Sep 1994";"";"01.09.1994";"30.09.1994";"";"182";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-7.93";"";"Seibersdorf Research-Arsenal";"";"";"";"7.7";"0.7";"Seibersdorf Research-Arsenal";"10";
"IN70000007";"Sillian";"Sillian";"1075";"Okt 1994";"";"01.10.1994";"31.10.1994";"";"45";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-14.28";"";"Seibersdorf Research-Arsenal";"";"";"";"10";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Nov 1994";"";"01.11.1994";"30.11.1994";"";"37";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-16.09";"";"Seibersdorf Research-Arsenal";"";"";"";"6.1";"0.5";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Dez 1994";"";"01.12.1994";"31.12.1994";"";"26";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-17.38";"";"Seibersdorf Research-Arsenal";"";"";"";"12.2";"0.8";"Seibersdorf Research-Arsenal";"70";
"IN70000007";"Sillian";"Sillian";"1075";"Jan 1995";"";"01.01.1995";"31.01.1995";"";"39";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-19.99";"";"Seibersdorf Research-Arsenal";"";"";"";"7";"0.5";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Feb 1995";"";"01.02.1995";"28.02.1995";"";"33";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-18.61";"";"Seibersdorf Research-Arsenal";"";"";"";"10.1";"0.7";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Mär 1995";"";"01.03.1995";"31.03.1995";"";"40";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-20.26";"";"Seibersdorf Research-Arsenal";"";"";"";"9.8";"0.6";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Apr 1995";"";"01.04.1995";"30.04.1995";"";"29";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-7.41";"";"Seibersdorf Research-Arsenal";"";"";"";"15.6";"0.9";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Mai 1995";"";"01.05.1995";"31.05.1995";"";"100";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-9.9";"";"Seibersdorf Research-Arsenal";"";"";"";"16";"0.9";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jun 1995";"";"01.06.1995";"30.06.1995";"";"135";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-12.42";"";"Seibersdorf Research-Arsenal";"";"";"";"18.5";"0.9";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jul 1995";"";"01.07.1995";"31.07.1995";"";"139";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-4.83";"";"Seibersdorf Research-Arsenal";"";"";"";"20.4";"1";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Aug 1995";"";"01.08.1995";"31.08.1995";"";"97";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-6.34";"";"Seibersdorf Research-Arsenal";"";"";"";"20.4";"1";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Sep 1995";"";"01.09.1995";"30.09.1995";"";"118";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-9.66";"";"Seibersdorf Research-Arsenal";"";"";"";"9.5";"0.6";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Nov 1995";"";"01.11.1995";"30.11.1995";"";"12";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-12.28";"";"Seibersdorf Research-Arsenal";"";"";"";"8.6";"0.5";"Seibersdorf Research-Arsenal";"450";
"IN70000007";"Sillian";"Sillian";"1075";"Dez 1995";"";"01.12.1995";"31.12.1995";"";"62";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-22.44";"";"Seibersdorf Research-Arsenal";"";"";"";"7";"0.4";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Jan 1996";"";"01.01.1996";"31.01.1996";"";"18";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-21.03";"";"Seibersdorf Research-Arsenal";"";"";"";"6.7";"0.4";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Mär 1996";"";"01.03.1996";"31.03.1996";"";"15";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-19.02";"";"Seibersdorf Research-Arsenal";"";"";"";"11.1";"0.5";"Seibersdorf Research-Arsenal";"5";
"IN70000007";"Sillian";"Sillian";"1075";"Apr 1996";"";"01.04.1996";"30.04.1996";"";"34";"Hydrograph. Dienst";"";"";"Hydrograph. Dienst";"";"";"";"";"-14.4";"";"Seibersdorf Research-Arsenal";"";"";"";"12.8";"0.6";"Seibersdorf Research-Arsenal";"5";
